Star,[O/Fe],[Na/Fe]
7183,0.232,0.135
7315,0.352,-0.15
7536,0.248,0.06
7558,0.392,-0.076
7788,,0.224
8198,,0.101
8204,0.285,0.06
8603,0.247,-0.039
8739,0.283,0.02
8826,-0.676,0.517
9230,,0.425
9724,-0.281,0.403
10012,-0.209,0.371
10105,0.197,-0.057
10265,-0.236,0.409
10341,-0.622,0.557
10571,0.164,0.202
13575,0.16,-0.024
30523,0.355,-0.058
30720,0.238,-0.096
30763,-0.531,0.495
30900,0.313,-0.049
31361,-0.842,0.604
31823,-0.385,0.302
31851,-0.579,0.601
32398,0.228,-0.03
32469,0.165,0.171
32909,-0.2,0.37
32924,0.01,0.37
33452,0.227,-0.041
33918,0.143,0.169
34008,-0.598,0.627
34634,0.31,-0.069
35265,0.331,-0.052
37496,0.317,-0.006
37505,0.255,-0.009
37831,0.146,0.124
37998,0.328,0.083
38228,0.159,0.121
38244,0.254,0.133
38660,0.25,0.015
38967,0.184,0.142
39060,0.199,0.203
40983,-0.431,0.411
41008,-0.604,0.704
41050,0.238,0.112
41207,0.327,0.013
41688,-0.492,0.449
41828,0.044,0.205
41969,0.301,0.037
42122,0.277,0.065
42996,-0.218,0.374
43097,-0.292,0.402
43194,,0.349
43247,-0.539,0.406
43794,0.419,-0.06
43972,,0.124
44213,,0.174
44526,-0.596,0.87
44665,0.042,0.302
44716,,0.411
44984,0.289,-0.036
44996,0.156,0.217
45443,0.301,0.023
45496,-0.422,0.377
45530,,0.375
45701,0.075,0.223
46036,0.398,-0.068
46520,-0.736,0.617
46587,-0.593,0.654
46663,-0.875,0.522
46800,,0.345
46868,0.28,0.065
46908,0.037,0.198
46924,0.156,0.233
47071,,0.37
47421,0.012,0.281
47502,-0.834,0.495
47638,,0.49
47667,,0.361
47700,,0.372
47805,0.212,0.25
48001,-0.099,0.371
48011,-0.726,0.654
48424,0.19,0.196
49122,0.162,0.296
49493,0.273,0.022
49743,-0.485,0.456
49753,0.029,0.244
50119,-0.885,0.558
50561,,0.149
50685,0.415,-0.036
50866,,0.497
50910,-0.334,0.403
51256,0.024,0.25
51416,,0.313
51519,0.344,-0.112
51646,,0.649
51918,-0.595,0.448
51930,0.063,0.229
51963,,0.031
52006,-0.913,0.639
52048,0.277,0.043
52083,,0.17
52647,0.259,0.078
52891,0.034,0.268
53209,-0.439,0.462
53284,0.341,-0.111
53579,,0.04
53629,0.344,-0.082
54264,0.19,0.2
54266,,-0.032
54284,0.086,0.28
54644,0.344,-0.089
54756,0.028,0.212
54789,,0.759
55354,-0.082,0.339
55609,0.311,0.058
55822,-0.644,0.608
56032,0.317,0.056
56103,,0.309
56710,0.342,-0.021
56924,0.198,0.212
48889,-0.138,0.417
51983,-0.125,0.419
47606,0.335,0.127
51499,0.357,0.098
46580,0.262,0.212
48609,0.376,0.066
50761,0.282,0.281
37872,-0.285,0.426
51454,0.374,0.084
46422,0.34,0.061
46099,0.261,0.193
53390,0.32,-0.017
43217,0.132,0.035
13983,-0.3,0.527
10201,-0.102,0.313
42886,0.181,0.066
32685,-0.219,0.366
