Star,[O/Fe],[Na/Fe],[Mg/Fe],[Si/Fe]
7183,+0.232,+0.135,+0.323,+0.261
7315,+0.352,-0.150,+0.363,+0.278
7536,+0.248,+0.060,+0.355,+0.260
7558,+0.392,-0.076,+0.370,+0.249
7788,,+0.224,+0.352,+0.236
8198,,+0.101,+0.443,+0.232
8204,+0.285,+0.060,+0.364,+0.269
8603,+0.247,-0.039,+0.319,+0.224
8739,+0.283,+0.020,+0.325,+0.220
8826,-0.676,+0.517,-0.048,+0.398
9230,,+0.425,+0.241,+0.336
9724,-0.281,+0.403,+0.332,+0.302
10012, -0.209,+0.371,+0.257,+0.294
10105,+0.197,-0.057,+0.297,+0.207
10265,-0.236,+0.409,+0.267,+0.309
10341,-0.622,+0.557,-0.100,+0.422
10571,+0.164,+0.202,+0.342,+0.255
13575,+0.160,-0.024,+0.370,+0.272
30523,+0.355,-0.058,+0.318,+0.247
30720,+0.238,-0.096,+0.419,+0.246
30763,-0.531,+0.495,-0.078,+0.418
30900,+0.313,-0.049,+0.408,+0.284
31361,-0.842,+0.604,-0.038,+0.390
31823,-0.385,+0.302,+0.121,+0.352
31851,-0.579,+0.601,-0.090,+0.400
32398,+0.228,-0.030,+0.414,+0.284
32469,+0.165,+0.171,+0.330,+0.266
32909,-0.200,+0.370,+0.357,+0.337
32924,+0.010,+0.370,+0.301,+0.271
33452,+0.227,-0.041,+0.390,+0.262
33918,+0.143,+0.169,+0.357,+0.240
34008,-0.598,+0.627,-0.104,+0.351
34634,+0.310,-0.069,+0.322,+0.237
35265,+0.331,-0.052,+0.351,+0.278
37496,+0.317,-0.006,+0.431,+0.293
37505,+0.255,-0.009,+0.371,+0.255
37831,+0.146,+0.124,+0.325,+0.284
37998,+0.328,+0.083,+0.446,+0.272
38228,+0.159,+0.121,+0.358,+0.231
38244,+0.254,+0.133,+0.441,+0.320
38660,+0.250,+0.015,+0.361,+0.232
38967,+0.184,+0.142,+0.342,+0.290
39060,+0.199,+0.203,+0.326,+0.267
40983,-0.431,+0.411,+0.231,+0.345
41008,-0.604,+0.704,+0.027,+0.327
41050,+0.238,+0.112,+0.336,+0.305
41207,+0.327,+0.013,+0.359,+0.253
41688,-0.492,+0.449,+0.144,+0.327
41828,+0.044,+0.205,+0.375,+0.259
41969,+0.301,+0.037,+0.428,+0.276
42122,+0.277,+0.065,+0.314,+0.260
42996,-0.218,+0.374,+0.280,+0.309
43097,-0.292,+0.402,-0.096,+0.356
43194,,+0.349,+0.241,+0.311
43247,-0.539,+0.406,+0.137,+0.282
43794,+0.419,-0.060,+0.435,+0.270
43972,,+0.124,+0.309,+0.272
44213,,+0.174,+0.344,+0.240
44526,-0.596,+0.870,+0.048,+0.351
44665,+0.042,+0.302,+0.398,+0.278
44716,,+0.411,+0.328,+0.280
44984,+0.289,-0.036,+0.335,+0.224
44996,+0.156,+0.217,+0.417,+0.259
45443,+0.301,+0.023,+0.441,+0.263
45496,-0.422,+0.377,+0.216,+0.318
45530,,+0.375,+0.124,+0.368
45701,+0.075,+0.223,+0.364,+0.333
46036,+0.398,-0.068,+0.376,+0.296
46520,-0.736,+0.617,-0.025,+0.307
46587,-0.593,+0.654,-0.020,+0.388
46663,-0.875,+0.522,-0.072,+0.402
46800,,+0.345,+0.336,+0.287
46868,+0.280,+0.065,+0.264,+0.274
46908,+0.037,+0.198,+0.336,+0.229
46924,+0.156,+0.233,+0.340,+0.274
47071,,+0.370,+0.235,+0.343
47421,+0.012,+0.281,+0.345,+0.251
47502,-0.834,+0.495,+0.133,+0.352
47638,,+0.490,+0.132,+0.347
47667,,+0.361,+0.093,+0.347
47700,,+0.372,+0.060,+0.354
47805,+0.212,+0.250,+0.358,+0.277
48001,-0.099,+0.371,+0.342,+0.305
48011,-0.726,+0.654,-0.069,+0.450
48424,+0.190,+0.196,+0.359,+0.278
49122,+0.162,+0.296,+0.387,+0.238
49493,+0.273,+0.022,+0.387,+0.257
49743,-0.485,+0.456,-0.072,+0.398
49753,+0.029,+0.244,+0.379,+0.260
50119,-0.885,+0.558,-0.115,+0.416
50561,,+0.149,+0.328,+0.300
50685,+0.415,-0.036,+0.389,+0.300
50866,,+0.497,-0.094,+0.392
50910,-0.334,+0.403,+0.283,+0.313
51256,+0.024,+0.250,+0.374,+0.259
51416,,+0.313,+0.140,+0.314
51519,+0.344,-0.112,+0.336,+0.274
51646,,+0.649,+0.006,+0.400
51918,-0.595,+0.448,-0.051,+0.395
51930,+0.063,+0.229,+0.345,+0.253
51963,,+0.031,+0.351,+0.264
52006,-0.913,+0.639,-0.061,+0.446
52048,+0.277,+0.043,+0.429,+0.258
52083,,+0.170,+0.360,+0.243
52647,+0.259,+0.078,+0.406,+0.253
52891,+0.034,+0.268,+0.396,+0.280
53209,-0.439,+0.462,+0.157,+0.297
53284,+0.341,-0.111,+0.361,+0.257
53579,,+0.040,+0.417,+0.266
53629,+0.344,-0.082,+0.375,+0.252
54264,+0.190,+0.200,+0.382,+0.265
54266,,-0.032,+0.421,+0.268
54284,+0.086,+0.280,+0.390,+0.276
54644,+0.344,-0.089,+0.334,+0.318
54756,+0.028,+0.212,+0.363,+0.241
54789,,+0.759,+0.045,+0.395
55354,-0.082,+0.339,+0.248,+0.321
55609,+0.311,+0.058,+0.435,+0.287
55822,-0.644,+0.608,,+0.294
56032,+0.317,+0.056,+0.364,+0.254
56103,,+0.309,+0.261,+0.286
56710,+0.342,-0.021,+0.398,+0.231
56924,+0.198,+0.212,+0.389,+0.276
48889,-0.138,+0.417,+0.161,+0.410
51983,-0.125,+0.419,+0.247,+0.321
47606,+0.335,+0.127,+0.440,+0.319
51499,+0.357,+0.098,+0.342,+0.310
46580,+0.262,+0.212,+0.268,+0.257
48609,+0.376,+0.066,+0.415,+0.290
50761,+0.282,+0.281,+0.334,+0.195
37872,-0.285,+0.426,+0.218,+0.359
51454,+0.374,+0.084,+0.398,+0.301
46422,+0.340,+0.061,+0.385,+0.271
46099,+0.261,+0.193,+0.348,+0.255
53390,+0.320,-0.017,+0.349,+0.252
43217,+0.132,+0.035,+0.272,+0.219
13983,-0.300,+0.527,+0.126,+0.406
10201,-0.102,+0.313,+0.231,+0.261
42886,+0.181,+0.066,+0.284,+0.246
32685,-0.219,+0.366,+0.292,+0.276
