star,T,[A/H],vt,[Fe/H]I,[Fe/H]II
7183,4531,-1.08,1.70,-1.08,-1.121
7315,4459,-1.14,1.29,-1.138,-1.075
7536,4306,-1.11,1.55,-1.109,-1.125
7558,4711,-1.13,1.64,-1.129,-1.106
7788,4510,-1.15,1.44,-1.144,
8198,4677,-1.09,1.46,-1.094,
8204,4575,-1.09,1.67,-1.092,-1.12
8603,4339,-1.14,1.61,-1.138,-1.147
8739,4271,-1.12,1.63,-1.121,-1.165
8826,4584,-1.10,1.54,-1.101,-1.14
9230,4171,-1.13,1.74,-1.126,
9724,4373,-1.17,1.62,-1.17,-1.158
10012,4268,-1.12,1.69,-1.123,-1.158
10105,4457,-1.16,1.42,-1.164,-1.16
10265,4305,-1.13,1.66,-1.134,-1.148
10341,4436,-1.11,1.69,-1.107,-1.166
10571,4310,-1.13,1.56,-1.131,-1.129
13575,4676,-1.15,1.48,-1.154,-1.147
30523,4747,-1.09,1.43,-1.088,-1.145
30720,4732,-1.12,1.51,-1.122,-1.112
30763,4469,-1.11,1.63,-1.113,-1.115
30900,4626,-1.10,1.53,-1.102,-1.123
31361,4665,-1.09,1.49,-1.09,-1.127
31823,4232,-1.18,1.72,-1.177,-1.102
31851,4678,-1.10,1.57,-1.097,-1.077
32398,4474,-1.13,1.61,-1.126,-1.106
32469,4270,-1.15,1.51,-1.146,-1.132
32909,4583,-1.13,1.52,-1.128,-1.161
32924,4530,-1.15,1.63,-1.152,-1.154
33452,4649,-1.10,1.58,-1.099,-1.155
33918,4321,-1.11,1.63,-1.106,-1.111
34008,4636,-1.11,1.56,-1.113,-1.109
34634,4686,-1.10,1.59,-1.103,-1.113
35265,4653,-1.09,1.63,-1.091,-1.132
37496,4537,-1.12,1.57,-1.123,-1.1
37505,4502,-1.10,1.65,-1.099,-1.095
37831,4715,-1.09,1.47,-1.093,-1.099
37998,4298,-1.16,1.68,-1.164,-1.184
38228,4577,-1.10,1.66,-1.103,-1.148
38244,4652,-1.18,1.58,-1.179,-1.177
38660,4318,-1.13,1.67,-1.126,-1.14
38967,4683,-1.11,1.51,-1.109,-1.158
